"Finance Cost","Finance Cost"
"Discount for payment at sight","Discount for payment at sight"
"Set up installments and interest","Set up installments and interest"
"Order not found.","Order not found."
"Mercado Pago, refund notification","Mercado Pago, refund notification"
"The order %1, was refunded directly on Mercado Pago, you need to create an offline refund.","The order %1, was refunded directly on Mercado Pago, you need to create an offline refund."
Unavailable.,Unavailable.
"You should not be here...","You should not be here..."
"Order Canceled.","Order Canceled."
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
"%1 minutes","%1 minutes"
"1 hour","1 hour"
"12 hours","12 hours"
"1 day","1 day"
"Payment for order %1 in store %2","Payment for order %1 in store %2"
Tax,Tax
"Awaiting payment of the Card.","Awaiting payment of the Card."
"Awaiting payment.","Awaiting payment."
"Awaiting payment through Checkout Pro.","Awaiting payment through Checkout Pro."
"Awaiting payment through Pix.","Awaiting payment through Pix."
"The gateway declined the transaction.","The gateway declined the transaction."
"Please select a category","Please select a category"
description,description
Production,Production
"Sandbox - Testing environment","Sandbox - Testing environment"
"Yes, Processed Order Synchronous","Yes, Processed Order Synchronous"
"No, Processed Order Asynchronous","No, Processed Order Asynchronous"
"1 installment","1 installment"
"2 installments","2 installments"
"3 installments","3 installments"
"4 installments","4 installments"
"5 installments","5 installments"
"6 installments","6 installments"
"7 installments","7 installments"
"8 installments","8 installments"
"9 installments","9 installments"
"10 installments","10 installments"
"11 installments","11 installments"
"12 installments","12 installments"
"13 installments","13 installments"
"14 installments","14 installments"
"15 installments","15 installments"
"16 installments","16 installments"
"17 installments","17 installments"
"18 installments","18 installments"
"19 installments","19 installments"
"20 installments","20 installments"
"21 installments","21 installments"
"22 installments","22 installments"
"23 installments","23 installments"
"24 installments","24 installments"
"25 installments","25 installments"
"26 installments","26 installments"
"27 installments","27 installments"
"28 installments","28 installments"
"29 installments","29 installments"
"30 installments","30 installments"
"31 installments","31 installments"
"32 installments","32 installments"
"33 installments","33 installments"
"34 installments","34 installments"
"35 installments","35 installments"
"36 installments","36 installments"
"Do Not Delete","Do Not Delete"
name,name
"Authorization for future capture","Authorization for future capture"
"Authorization for immediate capture","Authorization for immediate capture"
Configure,Configure
Close,Close
