"Finance Cost","Custo do Parcelamento"
"Discount for payment at sight","Descuento para pagar en un pago"
"Set up installments and interest","Definir cuotas e intereses"
"Order not found.","Pedido no localizado."
"Mercado Pago, refund notification","Mercado Pago, notificación de reembolso"
"The order %1, was refunded directly on Mercado Pago, you need to create an offline refund.","El pedido %1, fue reembolsado directamente en Mercado Pago, necesitas crear un reembolso offline."
Unavailable.,No disponible.
"You should not be here...","No tienes que estar aquí..."
"Order Canceled.","Pedido cancelado."
"Transaction has been declined. Please try again later.","La operación fue rechazada. Por favor inténtalo de nuevo más tarde."
"%1 minutes","%1 minutos"
"1 hour","1 hora"
"12 hours","12 horas"
"1 day","1 día"
"Payment for order %1 in store %2","Pago del pedido %1 en la tienda %2"
Tax,Impuesto
"Awaiting payment of the Card.","Esperando pago via tarjeta."
"Awaiting payment.","Esperando pago."
"Awaiting payment through Checkout Pro.","Esperando pago a través del Checkout Pro."
"Awaiting payment through Pix.","Esperando pago via Pix."
"The gateway declined the transaction.","El gateway rechazó la operación."
"Please select a category","Por favor, selecciona una categoría"
description,descripción
Production,Producción
"Sandbox - Testing environment","Ecositema de testeo"
"Yes, Processed Order Synchronous","Sí, procesar solicitudes sincrónicamente"
"No, Processed Order Asynchronous","No, procesar solicitudes asíncronas"
"1 installment","1 cuota"
"2 installments","2 cuotas"
"3 installments","3 cuotas"
"4 installments","4 cuotas"
"5 installments","5 cuotas"
"6 installments","6 cuotas"
"7 installments","7 cuotas"
"8 installments","8 cuotas"
"9 installments","9 cuotas"
"10 installments","10 cuotas"
"11 installments","11 cuotas"
"12 installments","12 cuotas"
"13 installments","13 cuotas"
"14 installments","14 cuotas"
"15 installments","15 cuotas"
"16 installments","16 cuotas"
"17 installments","17 cuotas"
"18 installments","18 cuotas"
"19 installments","19 cuotas"
"20 installments","20 cuotas"
"21 installments","21 cuotas"
"22 installments","22 cuotas"
"23 installments","23 cuotas"
"24 installments","24 cuotas"
"25 installments","25 cuotas"
"26 installments","26 cuotas"
"27 installments","27 cuotas"
"28 installments","28 cuotas"
"29 installments","29 cuotas"
"30 installments","30 cuotas"
"31 installments","31 cuotas"
"32 installments","32 cuotas"
"33 installments","33 cuotas"
"34 installments","34 cuotas"
"35 installments","35 cuotas"
"36 installments","36 cuotas"
