"Finance Cost","Custo do Parcelamento"
"Discount for payment at sight","Desconto para pagamento à vista"
"Set up installments and interest","Definir Parcelas e Juros"
"Order not found.","Pedido não localizado."
"Mercado Pago, refund notification","Mercado Pago, notificação de reembolso"
"The order %1, was refunded directly on Mercado Pago, you need to create an offline refund.","O pedido %1, foi reembolsado diretamente no Mercado Pago, você precisa realizar um reembolso offine."
Unavailable.,Indisponível.
"You should not be here...","Não é para você estar aqui..."
"Order Canceled.","Pedido cancelado."
"Transaction has been declined. Please try again later.","A transação foi recusada. Por favor, tente novamente mais tarde."
"%1 minutes","%1 minutos"
"1 hour","1 hora"
"12 hours","12 horas"
"1 day","1 dia"
"Payment for order %1 in store %2","Pagamento do pedido %1 na loja %2"
Tax,Imposto
"Awaiting payment of the Card.","Aguardando pagamento via Cartão."
"Awaiting payment.","Aguardando pagamento."
"Awaiting payment through Checkout Pro.","Aguardando pagamento por meio do Checkout Pro."
"Awaiting payment through Pix.","Aguardando pagamento via Pix."
"The gateway declined the transaction.","O gateway recusou a transação."
"Please select a category","Por favor, selecione uma categoria"
description,descrição
Production,Produção
"Sandbox - Testing environment","Sandbox - Ambiente de teste"
"Yes, Processed Order Synchronous","Sim, processar pedidos síncrono"
"No, Processed Order Asynchronous","Não, processar pedidos assíncrono"
"1 installment","1 parcela"
"2 installments","2 parcelas"
"3 installments","3 parcelas"
"4 installments","4 parcelas"
"5 installments","5 parcelas"
"6 installments","6 parcelas"
"7 installments","7 parcelas"
"8 installments","8 parcelas"
"9 installments","9 parcelas"
"10 installments","10 parcelas"
"11 installments","11 parcelas"
"12 installments","12 parcelas"
"13 installments","13 parcelas"
"14 installments","14 parcelas"
"15 installments","15 parcelas"
"16 installments","16 parcelas"
"17 installments","17 parcelas"
"18 installments","18 parcelas"
"19 installments","19 parcelas"
"20 installments","20 parcelas"
"21 installments","21 parcelas"
"22 installments","22 parcelas"
"23 installments","23 parcelas"
"24 installments","24 parcelas"
"25 installments","25 parcelas"
"26 installments","26 parcelas"
"27 installments","27 parcelas"
"28 installments","28 parcelas"
"29 installments","29 parcelas"
"30 installments","30 parcelas"
"31 installments","31 parcelas"
"32 installments","32 parcelas"
"33 installments","33 parcelas"
"34 installments","34 parcelas"
"35 installments","35 parcelas"
"36 installments","36 parcelas"
"Do Not Delete","Não Excluir"
name,nome
"Authorization for future capture","Autorização para captura futura"
"Authorization for immediate capture","Autorização e captura imediata"
Configure,Configurar
Close,Fechar
"15 minutes","15 minutos"
"30 minutes - recommended","30 minutos - recomendado"
"24 hours","24 horas"
"Modal window in store environment","Janela modal no ambiente da loja"
"Redirection to Mercado Pago environment","Redirecionamento para o ambiente do Mercado Pago"
"Cart %1 doesn't contain products","O carrinho %1 não tem produtos"
"There was an error when creating the payment. Please try again later.","Erro ao criar o pagamento. Tente novamente mais tarde."
"It was not possible to save on the installment cost amount","Não foi possível salvar o valor do custo de parcelamento"
"Default Store %1 - Set Data for store id %2 Web Site Id %3","Store ID: %1 Não habilitado para uso em produção"
Finished,Concluído
"Store ID: %1 Not allowed for production use","Store ID: %1 Não habilitada para uso em produção."
"There was an error saving: %1","Erro ao salvar: %1"
"Error fetching information: %1","Erro ao obter informações: %1"
"Please check store id %1 credentials","Por favor, verifique as credenciais da loja id %1"
"Order %1 - Increment Id %2 - state %3","Order %1 - Increment Id %2 - state %3"
"Card - MercadoPago","Card - MercadoPago"
"Checkout Pro - MercadoPago","Checkout Pro - MercadoPago"
"Pix - MercadoPago","Pix - MercadoPago"
"Pse - MercadoPago","Pse - MercadoPago"
"Webpay - MercadoPago","Webpay - MercadoPago"
"Document Type","Tipo de Documento"
"Document number","Número do documento"
Instruction,Instruções
"Due date","Vencimento"
"In order to comply with PCI regulations, the administrator cannot capture this payment method.","Devido à conformidade com o PCI, não é possível capturar esta forma de pagamento pelo administrador."
"Payer Entity Type","Tipo da instituição de pagamento"
"Financial Institution","Instituição financeira"
"Your access credential for store %1 is valid but you don\'t have production use permission. Request approval before use by <a href=\"%2\">click here</a>.","Sua credencial de acesso à loja %1 é válida, mas você não tem permissão de uso de produção. Solicite aprovação antes de usar <a href="%2">clique aqui</a>."
"Your payment will be valid until","Seu pagamento é válido até"
"Link for payment","Link para pagamento"
"Details for payment","Detalhes para o pagamento"
"Verification Code","Código de Verificação"
"Line Code is","O código de barras é"
"Issued on behalf of","Emitido em nome de"
"Mercado Pago partnership code","Código do convênio com o Mercado Pago"
"To pay, please scan the QR code","Para pagar, escaneie o código QR"
"or, if you prefer, copy-paste the code","ou, se preferir, copie e cole o código"
"Further instructions","Ler mais instruções"
"The Line Code is","O código de barras é"
Copy,Copiar
Copied,Copiado
"Enter the ID Document you used in the purchase","Informe o Documento de Identificação usado na compra"
Pix,Pix
Waiting...,Aguardando...
"Place Order","Realizar pedido"
"Payer First Name","Nome do Pagador"
"Payer Last Name","Sobrenome do Pagador"
"Card details","Dados do cartão"
"Card number","Número do cartão"
"CVV - Card Verification Value","CVV - Código de segurança"
"What is this?","O que é isso?"
"Expiration month","Mês de vencimento"
"Expiration year","Ano de vencimento"
"Card holder full name","Nome impresso no cartão"
"Number of installments","Número de parcelas"
"Save for later use.","Salvar para uso futuro."
"A 3-digit number in italics on the back of your card.","Um número de 3 dígitos em itálico no verso do seu cartão."
"Entity Type","Tipo"
"Please provide a valid document identification.","Por favor, forneça um documento de identificação válido."
"Unable to make payment, check card details.","Não foi possível efetuar o pagamento. Por favor, verifique os dados do cartão."
"Payment Services","Serviços de pagamento"
"Permission to set up the module","Permissão para configurar o módulo"
"<div class='mercadopago-payment-logo'></div><div class='mercadopago-payment-byline'><p><b>Mercado Pago</b></p><p>It offers payments with credit and debit cards, as well as offline means - in addition to exclusive advantages for those who pay logged into their Mercado Pago account, such as credits, discounts and other special conditions.</p></div>","<div class='mercadopago-payment-logo'></div><div class='mercadopago-payment-byline'><p><b>Mercado Pago</b></p><p>Oferece pagamentos com cartões de crédito e débito, além dos meios off-line e vantagens exclusivas para quem paga depois de iniciar sessão na conta Mercado Pago, como créditos, descontos e outras condições especiais.</p></div>"
"Technical support available <a href='https://github.com/mercadopago/adb-payment/issues/new/choose'>here</a>.","Suporte técnico disponível <a href='https://github.com/mercadopago/adb-payment/issues/new/choose'>aqui</a>."
"Basic Settings","Configurações Básicas"
"Mercado Pago integration","Integração com o Mercado Pago"
"<p>In order to sell or test a store, you must first enter your test and production credentials.</p><p>Using the account of the collaborator with access to Mercado Pago Seller Account, search the credentials according to the account: <a href='https://www.mercadopago.com/mla/account/credentials' target='_blank'>Argentina</a>, <a href='https://www.mercadopago.com/mlb/account/credentials' target='_blank'>Brazil</a>, <a href='https://www.mercadopago.com/mlc/account/credentials' target='_blank'>Chile</a>, <a href='https://www.mercadopago.com/mco/account/credentials' target='_blank'>Colombia</a>, <a href='https://www.mercadopago.com/mlm/account/credentials' target='_blank'>Mexico</a>, <a href='https://www.mercadopago.com/mlu/account/credentials' target='_blank'>Uruguay</a> and <a href='https://www.mercadopago.com/mpe/account/credentials' target='_blank'>Peru</a>.</p>","<p>Para vender ou testar loja, é preciso inserir credenciais de teste e de produção.</p><p>Com o colaborador com acesso da Conta de Vendedor do Mercado Pago, busque as credenciais de acordo com a conta: <a href='https://www.mercadopago.com/mla/account/credentials' target='_blank'>Argentina</a>, <a href='https://www.mercadopago.com/mlb/account/credentials' target='_blank'>Brazil</a>, <a href='https://www.mercadopago.com/mlc/account/credentials' target='_blank'>Chile</a>, <a href='https://www.mercadopago.com/mco/account/credentials' target='_blank'>Colombia</a>, <a href='https://www.mercadopago.com/mlm/account/credentials' target='_blank'>Mexico</a>, <a href='https://www.mercadopago.com/mlu/account/credentials' target='_blank'>Uruguay</a> e <a href='https://www.mercadopago.com/mpe/account/credentials' target='_blank'>Peru</a>.</p>"
"Checkout operation mode","Modo de Operação do Checkout"
"When operational mode is set as Sandbox, your sales will not be communicated to financial institutions.","Quando o modo operacional estiver definido como Sandbox, suas vendas não serão comunicadas às instituições financeiras."
"Public Key - production","Public Key - produção"
"Access Token - production","Access Token - produção"
"Public Key - Sandbox","Public Key - Sandbox"
"Access Token - Sandbox","Access Token - Sandbox"
"Developers support","Suporte para desenvolvedores"
Debug,Debug
"We record your store's communications with Mercado Pago in orer to offer a better support. Please note it is not recommended to use the debug mode when your store is in production mode.","Registramos as comunicações da sua loja com o Mercado Pago para oferecer um suporte ainda melhor. Atenção: não é recomendado usar o modo debug com a loja em modo de produção."
"Rewrite notification URL","Reescrever a URL de notificação"
"You can override notification URLs which are automatically generated. In order to use the module's default, please do not fill in this details.","Você pode substituir os URLs de notificação que são gerados automaticamente. Para usar o padrão do módulo, por favor, não preencha esses dados."
"Store Name, Category and Integrator ID","Nome da loja, Categoria e ID do Integrador"
"Store Name","Nome da loja"
"This is the store's name as it will appear on the customer's invoice. In case the sale was made through Checkout Pro, the invoice will also show Mercado Pago in the name.","O nome da loja conforme vai constar na fatura do cliente. Se a venda foi feita por meio do Checkout Pro, a fatura também identificará o Mercado Pago no nome."
"Category of your store","Categoria da sua loja"
"The product category of your store on Mercado Pago.","A categoria de produto da sua loja no Mercado Pago."
"Integrator ID","ID do Integrador"
"With this number, we are able to identify all your transactions and know how many sales were processed using your account. Become a certified Mercado Pago partner and request your integrator_id <a href='https://docs.google.com/forms/d/1EeO__nZuqHf4cb81NpwtDSybPT7COluSZVrXR4A8F7Q/viewform?edit_requested=true' target='_blank'>here</a>.","Com este número, nós podemos identificar todas as suas transações e saber quantas vendas foram processadas com a sua conta. Torne-se um parceiro certificado do Mercado Pago e solicite seu integrator_id <a href="https://docs.google.com/forms/d/1EeO__nZuqHf4cb81NpwtDSybPT7COluSZVrXR4A8F7Q/viewform?edit_requested=true" target="_blank">here</a>."
"Sales requirements","Exigências de vendas"
"Checkout Pro","Checkout Pro"
"Enabled","Ativado"
"Title","Título"
"Payment method title at the store's checkout.","Título da forma de pagamento no checkout da loja."
"Deadline for payment","Prazo limite para pagamento"
"Calendar days.","Dias corridos."
"Payment completion view","Visualização da conclusão de pagamento"
"Modal: Buyer will close via modal on the checkout screen. Redirection: Buyer will be redirected to the Mercado Pago website.","Modal, o cliente vai concluir via modal na tela de checkout. Redirecionamento, o cliente será redirecionado para o site do Mercado Pago"
"Removed payment method","Meio de pagamento excluído"
"Select the payment methods you do NOT want to accept.","Selecione os meios de pagamento que você NÃO quer aceitar."
"Installment options limit","Limite de Parcelas"
"It is possible to configure the number of installments in Checkout Pro, but the limit of installments per purchase will also depend on the minimum and maximum amount defined by each flag in the country of your store.","É possível configurar o número de parcelas no Checkout Pro, mas o limite de parcelas por compra também depende dos valores mínimo e máximo determinados por cada bandeira do país em que sua loja se encontra."
"Conversion tags","Tags de Conversão"
"You can link your Checkout Pro sales with external services.","Você pode associar suas vendas do Checkout Pro a serviços externos."
Facebook,Facebook
"Link your sales with Facebook by entering the ID No. and your tracking code.","Associe suas vendas ao Facebook, informando o ID e seu código de rastreamento."
"Google Ads","Google Ads"
